city, ccnumber, name, publish_date
Raginuv,344959337723771,Joseph Wilkins,04/02/2002
Vuzratu,201496067290509,Jim Delgado,07/22/1959
Arelugbin,5130457428481083,Ian Watts,06/26/1964
Macuhi,6304632756215349,Clarence Rodriguez,08/02/2036
Gozetno,6202987228124971,Lou Atkins,10/31/2068
Adhoif,4026549286762693,Russell Rhodes,02/06/1957
Amidicep,4804866287086676,Adeline West,12/23/2030
Biporjiv,6334772923398216,Steve Moore,01/08/1958
Fubetha,345253054465389,Jane Wong,04/09/2050
Osiegihu,3528696544536354,Mollie Vega,05/27/1909
Luszuva,3528103996690557,Helena Ball,01/20/2032
Robdeliz,36411734653139,Lena Welch,09/14/1948
Jetsuvabe,5610390215235660,Marguerite Long,09/06/2038
Hibied,5610785875744648,Carolyn Martin,08/15/1915
Cemzigdom,6334649316856127,Dollie Huff,04/04/2036
Buelonod,4462241642044690,Calvin Bowen,11/29/2038
Sajoget,6374355820455288,Cole Jennings,03/03/1934
Giawod,201440418793381,Polly Bass,11/24/1919
Faolafiz,5018089579463268,Terry Mann,11/21/1956
Dacihene,3528501909996385,Charlie Mills,06/17/1923
Sonvomu,5610807758993207,Nelle Armstrong,09/02/1913
Emiiviwur,4903320002878603,Emma Hamilton,03/27/2038
Irupeom,3528615225146077,Dominic Valdez,06/10/1945
Emufuche,5610767888258360,Johanna King,05/31/1968
Rifzapji,5610255087340858,Jay Snyder,02/14/1930
Corilojo,6334258415112331,Eunice Harmon,01/29/2038
Faesdu,6334393736138606,Chad Brewer,11/03/1998
Lovsovif,5610815548762857,Henry Douglas,09/01/2009
Bourair,6304519687910017,Gertrude Carson,09/25/1987
Megipul,5126752816014371,Ricardo Bowen,07/27/1922
Meranaari,4026358969258999,Mayme Bowman,09/18/1982
Idfeje,201439949727561,Darrell Stanley,11/24/2030
Fejubat,6334214981697916,Steven Powell,01/25/1952
Pafoema,36520180127578,Myrtle Figueroa,03/11/1998
Ehhupzi,4026806809469473,Earl Herrera,05/05/2057
Necitiw,5462814846665481,Herbert Parker,09/10/2026
Fibesu,5610097550724212,Mildred Lambert,07/31/1962
Wovokizel,36074745837925,Matilda Gross,10/11/1997
Tukekih,5018877600908198,Della Nguyen,11/30/1949
Enefino,5170862311857078,Ida Jennings,12/04/1902
Obejzi,4421129076210673,Sam Joseph,05/10/2016
Vowakar,6304837399578637,Gavin Fox,06/15/1945
Pevuve,343316157588720,Catherine Greer,11/08/1920
Waimve,5126523236972492,Nettie Castro,02/24/1901
Zegirenu,4026857311679158,Frederick Vega,11/06/2036
Cokajeco,3528044102656001,Francis Elliott,05/09/1931
Mirzucom,4026108873412731,Travis Hogan,01/19/1959
Wiofras,3528455551000287,Clayton Hardy,11/21/2009
Lelbozto,4026091727339674,Douglas Sherman,03/11/2031
Febupzi,4621683936614688,Micheal Wade,05/10/2025
Rezramjig,4968014720783862,Julia Craig,09/23/2026
Vimevaw,4026741548665091,Milton Rogers,03/24/2034
Imjadta,4009125035964517,Carl Sullivan,05/30/2001
Bupjogura,4092841218275491,Louisa Rogers,03/10/2019
Nednagice,201428889429569,Jayden Holloway,11/17/1919
Rihobri,5467342758425335,Maggie Lambert,12/12/1911
Icmisag,201495694511493,Logan Padilla,10/28/2002
Soraaj,6375332957113997,Christopher Ramirez,09/04/2055
Mepogkud,342205947593705,Daisy Barrett,06/14/1917
Wavjamez,36667743494381,Effie Francis,08/24/2016
Biemga,201482657100464,Linnie Joseph,09/14/1913
Isusetse,6304565308034943,Margaret Lamb,12/01/1925
Rehzifnud,4903523713295047,Isabella Cummings,11/15/1987
Hosgamira,5467685381823700,Caleb Owens,08/18/1970
Luupuir,6011738979530580,Jared Phelps,07/07/1987
Dusrukug,6257039337419753,Isabelle Higgins,07/08/1901
Epnahpu,30028629777736,Louise Alexander,11/18/1986
Fehguwic,30023110674872,Lettie Baker,08/17/2032
Paobeki,36189535655012,Bernard Simpson,01/12/1988
Zesalod,6304632858726003,Ray Walton,01/01/2018
Boseves,36118495868851,Tom Fields,01/15/2002
Susujhib,5498249093150945,Tillie Wood,04/12/2062
Fonisa,6304942976725880,Delia Burton,05/20/2069
Ognema,6011518859614674,Estelle Gross,03/26/1979
Kahefin,5018930492738247,Maggie Montgomery,06/27/1921
Wakoduj,30002637042888,Ruth Sharp,10/26/1919
Huzzemot,4903179482159060,Peter Wilkins,08/26/2070
Hiurren,4665151125671940,Loretta Delgado,11/07/1992
Rabuzeh,6205846232260592,Johnny Baldwin,09/12/1958
Zogeta,6375847753262334,Nelle Castro,02/16/1985
Cedusab,3528114336491846,Christopher Howard,07/07/2067
Fobapwom,6011652265249955,Sean Carpenter,03/09/1958
Imkovbid,201403594340799,Angel Flowers,03/02/2039
Gidetuge,30003384359202,Marie Hudson,01/05/2022
Lejcajir,4170654320393374,Max Paul,05/17/1915
Replurehe,6374857349547545,Kathryn Ramsey,04/20/1954
Olapomi,4903757062268714,Hannah Robertson,09/10/2025
Evjuzca,5437577475658158,Cody Harvey,08/27/2045
Zulasef,6304775373970372,Jack Caldwell,03/23/2000
Nekobeh,4026893297504938,Violet Beck,07/05/1963
Fivivpuw,343832948929304,Danny Bell,09/03/1951
Suasaje,6011559254075145,Larry Williams,11/20/2044
Gukbadcaw,3528370339345369,Dominic Stephens,09/29/1969
Gilojka,6265716622745931,Miguel Thomas,03/13/1938
Voztozuv,6304469275223813,Christine Farmer,04/04/1971
Jofetcu,36049110914525,Nathaniel Bass,07/03/1944
Menmedcof,6304028376849726,Ina Clark,09/30/1977
Etutuci,6334807337315701,Mittie Williamson,12/18/1918
Coneha,6011900538049193,Lucinda Hicks,10/04/2056
Pirepe,4026387097056314,Ida Swanson,09/18/1960
Ceokodag,4874164335521091,Victor Kennedy,05/14/1927
Mevpucko,6252118507974733,Earl Fuller,03/14/1909
Kimnaof,6373985592191231,Oscar Hudson,08/27/1996
Ejpavpun,6011169310325573,Ola Scott,03/03/1984
Kefuoje,6011941742179954,Juan Gregory,01/17/1982
Ogatonker,36516197384632,Johanna Bailey,02/07/1972
Juzuwojus,4776224508671088,Eugene Bowers,03/11/2057
Ocvitlu,6011908056273947,Lola Gibbs,05/02/1934
Ciziwta,4026725160207878,Bernard Walsh,08/28/1917
Guntupa,201430476825654,Rosetta Griffith,09/24/2051
Anukamo,6222431794659751,Joe Bell,05/31/2012
Honiji,6334586071571196,Leroy Ramirez,04/25/2045
Ikudohsuj,340956480456427,Mildred Swanson,12/04/1949
Jobupme,36508880765847,Sam Morris,02/28/2058
Hiasve,4272026726468489,Craig Berry,09/20/1962
Ovarejew,3528187509379014,Caleb Moore,03/16/2048
Uwedekha,6011227889661859,Vera Lyons,12/24/2062
Lojizul,201466593503527,Ian Edwards,07/31/2013
Epfavupa,6334211426003684,Lizzie Adams,01/28/1967
Agbife,6371798304272138,Jared Washington,05/10/1970
Rofullo,5427808518779459,Mike Zimmerman,07/11/1983
Derceso,5018253637129846,Dorothy Hammond,06/13/1954
Akujatzat,6298094655268549,Cory Scott,04/15/2065
Edepotuka,5018065610076509,Genevieve Cohen,10/24/1913
Ulpirpiw,5477538626034351,Sam Klein,03/15/2038
Tudhakol,5476367856740086,Theresa Collins,06/06/2009
Ezoovda,5018956955019577,Rosalie McCoy,03/19/1974
Bipiip,5414738155852290,Randy Wilkerson,12/18/1968
Hobdufe,6208194753741543,Eula Watkins,05/18/1967
Ravuvno,3528143000114772,Ralph Gross,03/03/1908
Vaejso,4903867390421305,Pauline Meyer,09/14/1907
Ivjurco,6245560877480793,Elva Herrera,11/18/1956
Pogkoves,344445199360837,Lina Hicks,12/05/2042
Kajifme,5610784362977555,Elizabeth Herrera,12/10/2000
Lurizona,6011823087183322,Chad Ross,07/30/1996
Zitudo,340758509566669,Walter Dennis,12/24/1957
Refulbus,6374331480630015,Larry Ryan,01/21/1949
Nobezure,6239650897430288,Estella Jensen,02/22/1935
Eckusdos,5018820037392925,Bertha Smith,05/17/1906
Ijmechah,30075859337814,Randall Stewart,12/17/1986
Fuegmib,6334004208105276,Miguel Gordon,10/11/2061
Hirzeal,5018712803984193,Madge Goodman,09/26/1957
Sudijni,6304126702510499,Harvey Bridges,05/02/2031
Mikweada,5175164016751796,Franklin Powell,08/24/1916
Jocluil,3528883420618049,Cecelia Lawrence,02/11/2007
Wahbivgat,6376521614918629,Marc Russell,01/10/1973
Corizbi,36388628086941,Eunice Richardson,02/16/2067
Wevdezsek,6304201637413133,Derek Briggs,02/07/2023
Nobues,6334531300895776,Marian Simon,02/01/2024
Wirubbop,4903956638615545,Adrian Figueroa,11/01/2053
Gesidlul,4026383768998967,Olivia Waters,06/12/1986
Finkevko,4411340400773722,Marion Roy,04/30/1926
Vowirok,30072228181288,Joe Stanley,08/24/2041
Cebelu,36139630845711,Brent Collier,09/14/1957
Tunwaluz,6304435403393968,Nell Wheeler,08/03/1957
Pazorjer,6011032336790172,Alfred Lopez,03/21/2062
Ewlomme,201497903723091,Gussie Bowen,11/21/1954
Taumevoz,5152625730835526,Harry Boone,04/28/2036
Hebisug,5435301887635379,Norman Hunt,08/23/1931
Joscaasa,6011980312591669,Bettie Garcia,04/08/1976
Ajujidme,5458860652705164,Tom Marshall,11/26/1937
Cezitza,36258922711033,Iva Williams,06/12/1919
Biwgizer,4903854171488356,Kathryn Harvey,09/17/2008
Tiwijifo,6334542702977948,Matilda Duncan,03/14/2046
Renneleh,5411997536480071,Alejandro Newman,02/16/1921
Wefifgi,5498738159945032,Harold Tucker,10/31/1996
Ohpiic,3528338980699525,Millie Dawson,09/01/2060
Cuhkeluz,36261918700192,Tyler Sullivan,04/21/1941
Vakivesah,201481544114746,Elizabeth Montgomery,08/09/2043
Elukirsat,6252020990423709,Richard Graham,11/11/1986
Edbuwad,36858897937065,Keith Cruz,04/19/1901
Cotruuz,5103544084020801,Christopher Edwards,02/06/1952
Owjototi,5018393091108124,Brett Gonzalez,10/12/2033
Lujseclo,201467580908968,Johanna Parsons,09/22/1905
Vumofe,5018748048770864,Clifford Blake,01/06/2057
Dejufi,6304774205829740,Dorothy Young,11/03/1968
Dakivat,340926465396369,Carrie Moody,06/26/1991
Zohrait,6276216761987383,Brian Coleman,11/03/2038
Ecetebi,5610914833465795,Francis Duncan,02/21/1941
Peiljah,36904435294658,Ada Carter,01/29/1937
Azesarabe,4883284927365175,Gilbert Francis,05/22/1909
Rifsubu,6379864625538037,Jesus Wheeler,10/14/1908
Zugledzaf,6304434242543602,Chris Watson,11/13/1905
Uvvemkip,4026909914371483,Sophie Wallace,08/27/1997
Retika,6236709734561276,Timothy Zimmerman,02/15/2024
Wajinbuk,6011975490503551,Lottie Walsh,05/25/1999
Lartinkup,5414613488781351,Nellie Terry,05/29/1980
Nedluzov,5192677498457409,Max Ward,05/30/1978
Fohapvar,6334114981340089,Abbie Hines,07/25/2029
Forrujow,4026351431231595,Lee Guzman,12/30/2010
Sucfiwago,6379798319239967,Cole Roy,06/09/1986
Fohwajno,3528886583107429,Mattie Ruiz,12/03/2051
Teczorhi,201433754055747,Don Snyder,01/14/2038
Felejne,6304114367592416,Don Perez,06/19/1905
Giciklin,201400315609338,Leah Caldwell,04/29/1973
Lofmuoj,6304434287815626,Jeffery Peterson,05/28/2041
Osboso,343954925318283,Keith Dennis,05/24/1991
Ticufro,6261062667806807,Lilly Jefferson,08/06/2030
Pootev,4026111494699744,Carlos Mann,03/15/1967
Fetzuviru,3528157157719241,David Keller,06/08/2025
Sukokpin,5141706775436935,Pauline Walker,04/12/1902
Apsulme,6304902622747704,Manuel Foster,11/12/1971
Ahdahow,5409502630210541,Mabel Hoffman,11/04/2061
Iwhukumi,5610459810599984,Mittie Nunez,04/27/1926
Cewojrun,6251810021929331,Ida Goodwin,01/10/1900
Sellana,5610227284990728,Mattie Nash,08/08/1998
Rerifdu,5018407669270254,Keith Bennett,11/20/2006
Rigukreb,3528291018184582,Luke Joseph,03/09/1926
Nozfelze,201471871600417,Andre Clayton,11/14/1932
Kowuat,36459489710539,Bruce Lyons,08/18/2037
Rufhepeh,5109394971439282,Adam Floyd,05/03/2027
Uzienuvec,6304103996591535,Mildred Hansen,06/01/2052
Pitucib,6011265117215676,Joshua Pope,01/26/1912
Petena,6304515009256428,Jayden McGee,06/06/1940
Rucuogu,36743930978385,Lelia Griffith,07/27/2064
Cedkudob,6378865891062173,Antonio Gibson,10/12/1986
Lolikat,6370064454740494,Andre Sherman,10/17/1947
Munabi,6334603024092277,Derrick Rodriguez,09/20/1927
Roabez,5134677026745441,Lou Gutierrez,06/23/1958
Cigdotu,6011248794620517,Martin Obrien,11/13/1967
Oluarujet,4903851406922027,Lina Maxwell,04/09/1903
Radowpu,5186673558683446,Jeremy Grant,12/09/2063
Ekifusguh,4026721489500762,Gordon Bass,08/03/2028
Bingolja,4903624639878229,Linnie Simmons,10/10/1925
Osburkak,6304883066601245,Alice Rhodes,01/07/1927
Zolemac,36206499588482,Ryan Richardson,06/27/2038
Vomodo,4996155846367902,Ellen Hardy,02/10/1912
Ulrafkuf,5018760509237283,Gene Rowe,11/06/2060
Lizipag,4903340031933005,Florence Bennett,07/14/2024
Hociun,3528134887531766,Allie Hart,12/17/1952
Dobekeip,5610913164316643,Effie Mathis,10/11/1940
Tuenubu,5465504368889760,Sarah Ford,03/15/1939
Cuowaku,4903079965852860,Herman Rogers,04/23/1944
Ogupitpip,6334945775603061,Madge Garza,01/29/1943
Gacupuc,3528169876957697,Joel Gilbert,03/21/1936
Buvidpun,3528924990937599,Patrick Reynolds,05/27/2028
Janbuca,6304751214616052,Ruby Willis,02/16/1902
Soidasud,6304600505219482,Jeffery Beck,06/28/1954
Jincupeb,6259414225906856,Jay McGuire,01/20/2039
Dazuwu,5107540221376532,Lola Moran,08/28/1978
Delikoze,6376194656741034,Edna Chandler,01/11/2053
Weldinuce,5018420529379868,Miguel Rivera,10/19/1907
Zogomsa,340522995546548,Warren Abbott,07/31/1968
Ocecido,201439674478497,Effie Cobb,07/27/2044
Fuuvav,5018345191224847,Leon Yates,09/19/1908
Cukkanzeb,5455490849680337,Bertha Henry,05/18/2026
Zujutfe,6334226067680954,Nancy Davis,01/23/2031
Menjasor,36541849173084,Richard Porter,02/25/2027
Evbilam,5610041367194920,Jessie Sparks,12/14/1994
Usibupo,4026854270223433,Derrick Singleton,11/06/2009
Owelokah,6011967939479105,Marion Boone,05/19/1962
Igsuli,6334687257660983,Rachel Watson,09/16/2067
Ekofunoba,6304705140795224,Clifford Robbins,09/11/2042
Bezcewen,6011374871647080,Agnes Franklin,10/26/1969
Kazaduvu,6374608634360460,Sophia Conner,10/13/2056
Kocevlu,3528075260771943,Christine Williams,04/09/1998
Bojtuzes,6371835002409073,Beulah Snyder,09/17/1956
Ehceftid,6258959026962319,Evelyn Klein,09/20/1924
Muipiwu,5018179823725297,Jesus Gardner,09/10/2039
Zoksomvob,5018266529778389,Aaron Gill,12/08/2035
Defliib,6374939282936636,Lawrence Oliver,09/13/2012
Hovranuv,6378371117772083,Zachary Vasquez,06/24/1956
Vinecli,6011246873364262,Aiden Gross,06/26/1957
Fagjadig,201441899181211,Isaiah Oliver,01/14/1965
Vaezafu,4026902743297623,Alta Singleton,12/14/2039
Tilgobzu,4026849692985742,Isabelle Duncan,07/30/2023
Alzivol,30002597089028,Randall Murphy,08/31/2044
Tijpule,36175812332326,Lee Kelly,06/23/2057
Bocepka,5124783631564029,Leila Romero,10/26/2007
Jewajzuk,5018397103327440,Erik Chambers,01/20/1909
Cihephiz,3528223235897860,Millie Rowe,08/25/2067
Tiobfi,5146977844410640,Abbie Wallace,01/06/1990
Dobtiol,6304649338718087,Tillie Drake,07/05/1945
Temwice,4903386904249821,Lida Lewis,12/21/1977
Ejgecom,4026028337248317,Hunter Pena,04/02/1973
Veunge,5610069011559198,Cora Keller,05/17/1912
Siceawo,6376983425840907,Inez Black,09/08/2064
Nebmaok,3528448975394402,Estella Hopkins,11/22/1961
Hefezko,5170877809489143,Elnora Carson,11/08/1908
Rotzidrak,5610305103806661,Mark Greene,01/11/1901
Sulnoule,6304534961156179,Harriett Hammond,02/20/1952
Seflate,6273922019700485,Olivia Sharp,12/05/2028
Kakjilej,5610342124449189,Susie Greene,02/24/2053
Pepzejto,5414383304625626,Julian Cannon,04/11/2063
Gebames,6011021170290688,Adele Flores,12/03/1983
Kobuhef,6262511707298317,Edith George,12/27/2024
Opatauc,343892933746659,Lou Sparks,01/09/1960
Nuctanor,4903383305522815,Lawrence Davis,12/11/1911
Jubowev,4026838068626956,Harry Edwards,11/04/1934
Omujapeg,6274189111763899,Hannah Burgess,01/10/1956
Vohuhso,6371686874504784,Amanda Klein,08/29/2056
Uzuvesno,6011720549006358,Mae Munoz,03/30/1977
Kofomi,6304625554168231,Jimmy Sparks,03/01/2018
Ebuorate,6334788233953805,Rachel Cox,02/27/1903
Ibukonu,5127463594391721,Alejandro Baker,01/05/2051
Diodide,6304898341451414,Caroline Wilson,05/16/2027
Feivvem,3528965594613953,Isabel Summers,01/13/2061
Wurjider,6304360655525333,Samuel Gordon,02/22/1908
Hihlaja,4026147622747955,Jordan Diaz,06/17/2052
Ciropdid,6334307425739912,Dollie Russell,03/04/1993
Acredu,6292299739895458,Trevor Gilbert,03/10/1901
Wovufjon,36553649606361,Hulda Roberson,05/15/2012
Galhezep,36398922067992,Gordon Ward,08/01/1937
Sabhegun,5610487168594943,Alejandro Malone,04/04/2068
Fovkiwat,201494728944713,Bradley Baldwin,05/03/1993
Otaduuh,4026343489905006,Brian Romero,06/01/1910
Doojhan,201415053355324,Myra Strickland,10/20/2001
Gupote,4782995080464776,Terry Sanchez,04/24/1927
Anitlu,6304184137338473,Dora Schultz,07/04/1949
Jefudo,6304030272878668,Violet Boyd,02/09/1948
Jahnedfep,6334786896110259,Marguerite Fuller,01/14/1912
Rudohu,6334621279011784,Joshua King,10/16/1967
Zezdactob,5145873435044917,Ophelia Drake,01/16/2069
Ehiazib,6379074390959554,Dora Klein,04/29/2047
Ofimopsa,201492329448670,Max Leonard,08/05/2065
Zebiih,36052291080736,Erik Salazar,06/16/2044
Nidrini,5479076185926350,Francis Romero,09/18/2070
Luakki,5018452816080370,Benjamin Morton,11/02/1906
Remguzwo,4903015248351098,Marguerite Ortiz,11/07/1924
Iszajruw,5018074510811676,Theodore Guerrero,04/04/2054
Otinuluj,5435909038680233,Edna Stevenson,06/18/1982
Giriza,5172723391463658,Ian Hammond,01/23/2053
Edjalpaz,6375099926256880,Hester Maldonado,04/01/2003
Woldenfuh,3528529484054239,Andrew Rios,10/03/1950
Tigmiptus,345074566981659,Dora Gomez,09/03/1967
Matsezap,4923729306684663,Jason Diaz,04/24/1900
Iliudugi,30043988896431,Henrietta Bailey,04/10/1943
Afajompic,36773754629350,Nettie Webster,07/13/1976
Ihjetu,5147621686985298,Joseph Barnett,08/31/2068
Zigtilkop,5461777328297753,Jacob Wood,12/14/1938
Fohbajud,3528875804478768,Marion Wade,02/01/2025
Tuigovic,5610350822381620,Max Glover,01/06/1938
Jomusned,6200225036762100,Dollie Mendoza,06/16/1967
Mezremra,30097852859586,Lawrence Weaver,07/08/2003
Bidcedahe,4654880791716125,Kathryn Conner,01/19/1986
Jetelog,201412693553764,Polly Fuller,01/05/1915
Azgonwi,348114016657041,Lucile Fox,05/03/1976
Viwzuet,30053984822554,Alexander Cross,07/09/2049
Asgimte,4903423388677134,Douglas Blair,08/13/1909
Batapug,5018992302932725,Carolyn Fisher,08/05/1978
Atpelbap,201447345343073,Tillie Cannon,05/27/1990
Efbafol,6375786749836803,Harriett Leonard,05/08/1902
Pishokur,342520742602968,Edgar Hall,11/05/2009
Ujleguk,36644708173177,Devin Morales,08/11/1938
Cuktepsov,4903276833224369,Martin Peterson,10/20/1998
Napwifoj,36899719829726,Danny Mason,10/01/1905
Azupoedi,4026555241520597,Jerry Jenkins,04/08/1913
Leabonoz,5157466328805414,Jean Zimmerman,04/26/2025
Udcuper,5018645034659236,Carlos McKinney,08/19/1905
Nafrivbih,347349383635037,Louisa Garner,09/26/2060
Ratwadu,3528263059052028,Mabelle Wells,05/30/1983
Taplase,6304530320879626,Maurice Henry,06/22/1915
Wivcodsob,5610373198309066,Harriett Cortez,05/19/1916
Wapokop,5018304447785820,Bernice Hoffman,01/04/2001
Wiggoskul,5146142299462451,Charlotte Douglas,08/11/2036
Mikare,5018577993029921,Ruth Fernandez,09/12/1998
Suurvaz,5459610751162455,Alvin Caldwell,09/11/2019
Kilejvew,4026153225034213,Jason Fowler,09/08/2069
Julefles,349505806725931,Maud Hamilton,11/17/2051
Ejkaku,201406836119970,Mollie Stephens,07/18/2069
Vejdutik,5455965590191212,Helen Ramos,08/02/2065
Uhilieh,6304947906133055,Sam Jefferson,08/27/1952
Hanuli,6304160857926739,Ray Haynes,06/22/2021
Liahoek,6304066173537649,Darrell Lopez,04/29/2053
Akcuak,5018167092493044,Isabella Edwards,08/30/2016
Iwjapbat,201474914781962,Jonathan Sherman,07/06/1919
Finketi,36853145468211,Corey Moore,01/14/1935
Wepwulku,6011792485792184,Alan Pratt,12/22/1930
Amizdek,343415545981710,Noah Davis,11/10/2048
Sasoban,6304734183668718,Violet Summers,01/20/1981
Asiazojof,4026945111074173,Effie Ballard,10/28/2040
Pulloza,6334333391024774,Angel Payne,01/28/1986
Petkoira,343744136936498,Minerva Garrett,01/24/2069
Vuokli,6304285927120037,Rosetta Owens,01/09/1967
Wajfabu,4094261854229587,Francis Norton,02/16/1966
Ibkono,5136222024358455,Harriet Hansen,10/04/2041
Vosemah,6304069808081470,Marguerite Barnes,01/07/1993
Uwfumaw,5428757550472870,Jordan Barnes,01/03/1956
Logopoca,6371339624641460,Margaret Cunningham,11/02/1977
Vindoho,6011559513076322,Theresa Ingram,11/21/1909
Kuvmowe,30054487831886,Gary Ortiz,05/04/1923
Luvotvaw,4903958378316813,Lois Ball,05/17/1946
Gubeaba,5018650561493694,Maud Curtis,06/15/2070
Hecoso,3528659350981833,Manuel Becker,06/01/1977
Kigkusut,6334664546682813,Lewis Frank,06/11/1942
Bakasozi,5018802521767069,Lewis McGuire,07/10/2042
Buucules,201452434609988,Alexander Oliver,07/17/1909
Devkuumo,5442946325396264,Augusta Thornton,07/09/1960
Tuvsaval,4903069521758313,Sara Atkins,04/10/2013
Reavip,6304635583453868,Jeff Malone,10/24/1986
Ginlafok,5610085823514155,Frank Simmons,09/12/2057
Wesifsi,5188733560292111,Alfred Ingram,09/26/1910
Befokeuna,5159193601675532,Rosetta Hines,02/15/2056
Ucuejni,5470425868671974,Lester Maxwell,12/13/1948
Gumpoeci,6011518511116670,Kevin Love,07/12/1900
Levmaaw,5610634613238663,Randall Lopez,05/12/2041
Fifearu,340220119306572,Peter Cruz,12/07/2009
Fojonow,4578330024948999,Isabelle Olson,11/30/1963
Jevizu,6011448453353877,Cornelia Long,08/26/2066
Birtawci,6011435567953353,Jean Torres,07/23/1985
Okzoldiv,30041824798027,Cecilia Reeves,08/22/2060
Asihater,4903287966626056,Melvin Gomez,04/04/2060
Wafsike,6334905899392348,Alice Nash,07/23/1932
Jogepo,3528862506538453,Carlos Johnston,10/13/1952
Jogenbal,6011798799259380,Ora Clark,06/01/1947
Cocejkaf,346079041477230,Bernice Gomez,02/28/2051
Bivdefup,201433961526746,Julian Ortega,01/15/2046
Coscagi,6334601338450959,Jesse Mills,04/15/2043
Cozijo,6304988020978025,Eddie Vega,12/11/1925
Faraki,5018620182126015,Lina Paul,11/03/1926
Gullaceg,5610687848066424,Nettie Holmes,06/12/1914
Fizduuf,4438272995312815,Janie Fox,04/06/1957
Ulaketze,5417487715732694,Bertie Murray,01/08/1974
Welvikmer,6011447025481679,Matthew Waters,08/13/2001
Kitcaehi,201419816108202,Caroline Collier,08/21/1981
Zoovitu,5018994624900125,Tillie Marshall,04/15/2014
Civiksoc,3528636390578712,Cameron Schneider,09/30/2046
Otuvarov,36652521182051,Isabelle Daniel,07/17/2049
Ekawekeh,36314917738950,Eugene Jacobs,04/08/1994
Heujhi,5174482839888152,Fred Fuller,11/17/1937
Suokpe,4163518712268685,Nora Frazier,03/07/1998
Vebnerta,6334549494605124,Janie Reid,04/26/2040
Kimizfah,3528628511529773,Minerva Glover,06/06/1932
Luugolo,6011521871986625,Glen Harrison,08/11/2027
Umhowi,201498171941324,Alejandro Colon,04/06/2004
Conumva,6011678011964563,Mamie Estrada,03/09/2007
Nazmobni,5610328414874426,Marian Parker,01/23/2059
Lovuje,6374015748330647,Emilie Goodman,04/26/2004
Vumidugi,30086049360400,Hallie Harris,11/28/2043
Mofkije,4751925691656335,Clyde Graham,07/22/1989
Tumzifwar,6011763688162004,Lydia Yates,09/15/1977
Wikpikwa,3528952406515675,Charles Cummings,07/29/1973
Zujpadot,4903462069227264,Ethan Turner,04/09/2004
Komhumpos,6304757632114364,Elijah McKinney,06/05/1918
Mobuse,6304659756986280,Dollie Gray,09/16/1983
Borzefbif,6378653987743744,Mattie Cannon,10/21/1935
Lodipu,6304407964456591,Darrell Curtis,08/12/2001
Lasodsud,201413017048184,Terry Daniels,11/01/1941
Rajvacaz,6374953565743080,Mike Martin,09/22/2049
Pugifim,4011418316544942,Edgar Lamb,02/20/2037
Gekuje,36427697775347,Evan Shelton,12/09/2049
Hipamona,4911287494788337,Lee Dawson,09/04/2030
Viwmolok,5018638938416639,Daniel Graves,06/21/2047
Wukgioc,201413569128301,Jose Warren,02/13/1995
Osoakdol,6334856775106148,Charles Buchanan,04/08/1995
Wegikiv,5018028380464644,Marc Hardy,02/02/2064
Isedizabo,6334498360430722,Beulah Stone,05/04/1970
Azasozol,4903821142930584,Millie Shaw,01/16/2048
Inzezo,36116208583320,Inez Joseph,03/13/1990
Meharjof,201490629214065,Michael Dunn,07/02/1908
Umvoli,5018252599821838,Eliza Paul,01/31/2006
Onuzafa,6011445026143249,Iva Pratt,06/06/1941
Ohgaled,6304737271069319,Jimmy Warren,03/25/2068
Wajelo,6372326464401468,Adele Schultz,03/08/2022
Lulazbo,4026391758047158,Johanna Barnett,05/16/1924
Huzaluh,6334470937247228,Mason Newton,07/25/2011
Cucrulcuj,36567673269151,Bertha Reed,06/06/2049
Uvlegir,201445022618056,Callie Paul,03/21/2001
Wozzamel,6304482834947517,Willie Wood,02/20/2067
Vofulu,4903332484796807,Bessie Weaver,09/20/1906
Rojrirnu,4903746225702321,Chester Dean,05/11/2045
Mofuber,345452295248337,Henry McGee,07/01/2036
Fiewoeru,6210167920735552,Jeffery Casey,04/04/2011
Koinci,5140298640161303,Maggie Rios,01/26/2051
Jetbaga,4026117333560260,Nina Jackson,03/21/1994
Lepamehi,6378048732451844,Lucas Edwards,01/22/2030
Anvunde,346130101609905,Jeffrey Wise,12/07/2000
Witilem,4026099230171120,Luella Rios,02/25/2037
Osojiila,6256796455472457,Winnie George,02/27/1930
Sivhibif,6253014525782407,Vernon Hansen,05/20/2024
Usewusza,4903310751398945,Iva Lawrence,08/16/2017
Juwzukzaw,6011814419179054,Marie Warren,04/08/2058
Epizapice,36062890911066,Devin Owen,06/27/2023
Oputamki,4903975050267866,Ronald Howell,03/25/1962
Urohcij,4254215755577565,Andre Luna,05/02/2064
Terajri,6285119154707187,Alexander Bryan,04/30/2013
Ecemawo,201489911271924,Nora Ballard,08/03/2031
Lifecesu,4903104162097331,Glenn Cox,10/14/1960
Afdunul,30074018603299,Harriett Hoffman,10/11/1920
Ipgehod,6011016714757218,Juan Watson,10/25/1937
Finojve,6304278152815017,Edward Maxwell,12/30/2029
Nufecjub,201497929014442,Isaac Sherman,02/04/2046
Nobhieh,6370229250967183,Katie McGee,03/09/1970
Moruvce,6334565576569046,Matthew Reyes,06/23/2014
Beniji,3528330164122614,Beulah Montgomery,05/26/1949
Abeuluhul,5407866165610967,Emma Farmer,06/22/2057
